__time,/unconstrained_mpc/mpc_data/ctrl_input/force/x,/unconstrained_mpc/mpc_data/ctrl_input/force/y,/unconstrained_mpc/mpc_data/ctrl_input/force/z,/unconstrained_mpc/mpc_data/ctrl_input/torque/x,/unconstrained_mpc/mpc_data/ctrl_input/torque/y,/unconstrained_mpc/mpc_data/ctrl_input/torque/z,/unconstrained_mpc/mpc_data/delay/data,/unconstrained_mpc/mpc_data/desired_robot_vel/angular/x,/unconstrained_mpc/mpc_data/desired_robot_vel/angular/y,/unconstrained_mpc/mpc_data/desired_robot_vel/angular/z,/unconstrained_mpc/mpc_data/desired_robot_vel/linear/x,/unconstrained_mpc/mpc_data/desired_robot_vel/linear/y,/unconstrained_mpc/mpc_data/desired_robot_vel/linear/z,/unconstrained_mpc/mpc_data/header/stamp/nanosec,/unconstrained_mpc/mpc_data/header/stamp/sec,/unconstrained_mpc/mpc_data/robot_vel/angular/x,/unconstrained_mpc/mpc_data/robot_vel/angular/y,/unconstrained_mpc/mpc_data/robot_vel/angular/z,/unconstrained_mpc/mpc_data/robot_vel/linear/x,/unconstrained_mpc/mpc_data/robot_vel/linear/y,/unconstrained_mpc/mpc_data/robot_vel/linear/z
1731295652.963924,0.000724085,-0.000000155,-11.054946845,0.000000000,0.000000000,0.004118863,0.010000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000944735,0.000000496,0.000000009,0.000000000
1731295652.974063,0.000707565,-0.000000104,-11.054946841,0.000000000,0.000000000,0.008180331,0.010000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.001088948,0.000000637,0.000000008,0.000000000
1731295652.985321,0.000681639,-0.000000155,-11.054946832,0.000000000,0.000000000,0.011982003,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.001185129,0.000000866,0.000000008,0.000000000
1731295652.994897,0.000611182,-0.000000508,-11.054946806,0.000000000,0.000000000,0.016259227,0.010000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.001300933,0.000001538,0.000000011,-0.000000000
1731295653.005615,0.000631890,-0.000000184,-11.054946809,0.000000000,0.000000000,0.010988469,0.010000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000634581,0.000001240,0.000000008,-0.000000000
1731295653.017097,0.000538869,-0.000000656,-11.054946793,0.000000000,0.000000000,0.009485447,0.010000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000394574,0.000002121,0.000000012,-0.000000000
1731295653.029667,0.000623791,-0.000000109,-11.054946805,0.000000000,0.000000000,0.004188508,0.010000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000101985,0.000001135,0.000000006,-0.000000000
1731295653.039900,0.000459435,-0.000000986,-11.054946790,0.000000000,0.000000000,-0.006712648,0.010000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000950578,0.000002751,0.000000014,-0.000000000
1731295653.051193,0.000537958,-0.000000546,-11.054946805,0.000000000,0.000000000,-0.010080019,0.020000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.001038420,0.000001795,0.000000009,-0.000000000
1731295653.061409,0.000529506,-0.000000613,-11.054946814,0.000000000,0.000000000,-0.013074603,0.020000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.001079924,0.000001781,0.000000009,-0.000000000
1731295653.072178,0.000467241,-0.000001015,-11.054946826,0.000000000,0.000000000,-0.019308503,0.010000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.001371466,0.000002318,0.000000013,0.000000000
