__time,/unconstrained_mpc/mpc_data/ctrl_input/force/x,/unconstrained_mpc/mpc_data/ctrl_input/force/y,/unconstrained_mpc/mpc_data/ctrl_input/force/z,/unconstrained_mpc/mpc_data/ctrl_input/torque/x,/unconstrained_mpc/mpc_data/ctrl_input/torque/y,/unconstrained_mpc/mpc_data/ctrl_input/torque/z,/unconstrained_mpc/mpc_data/delay/data,/unconstrained_mpc/mpc_data/desired_robot_vel/angular/x,/unconstrained_mpc/mpc_data/desired_robot_vel/angular/y,/unconstrained_mpc/mpc_data/desired_robot_vel/angular/z,/unconstrained_mpc/mpc_data/desired_robot_vel/linear/x,/unconstrained_mpc/mpc_data/desired_robot_vel/linear/y,/unconstrained_mpc/mpc_data/desired_robot_vel/linear/z,/unconstrained_mpc/mpc_data/header/stamp/nanosec,/unconstrained_mpc/mpc_data/header/stamp/sec,/unconstrained_mpc/mpc_data/robot_vel/angular/x,/unconstrained_mpc/mpc_data/robot_vel/angular/y,/unconstrained_mpc/mpc_data/robot_vel/angular/z,/unconstrained_mpc/mpc_data/robot_vel/linear/x,/unconstrained_mpc/mpc_data/robot_vel/linear/y,/unconstrained_mpc/mpc_data/robot_vel/linear/z
1731295226.251970,0.000606827,-0.000004815,-11.054946745,0.000000000,0.000000000,-0.000000020,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000001,0.000010843,0.000000032,0.000000001
1731295226.262256,0.000527076,-0.000004945,-11.054946749,0.000000000,0.000000000,-0.000000022,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000001,0.000011053,0.000000031,0.000000001
1731295226.272944,0.000447017,-0.000005070,-11.054946752,0.000000000,0.000000000,-0.000000024,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000001,0.000011254,0.000000031,0.000000001
1731295226.284381,0.000366721,-0.000005189,-11.054946755,0.000000000,0.000000000,-0.000000026,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000001,0.000011446,0.000000030,0.000000001
1731295226.294636,0.000286264,-0.000005302,-11.054946757,0.000000000,0.000000000,-0.000000028,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000001,0.000011629,0.000000030,0.000000001
1731295226.304773,0.000205720,-0.000005410,-11.054946759,0.000000000,0.000000000,-0.000000029,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000001,0.000011803,0.000000029,0.000000001
1731295226.314972,0.000125162,-0.000005512,-11.054946761,0.000000000,0.000000000,-0.000000031,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000001,0.000011967,0.000000029,0.000000001
1731295226.327486,0.000044665,-0.000005608,-11.054946762,0.000000000,0.000000000,-0.000000033,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000001,0.000012121,0.000000028,0.000000001
1731295226.337463,-0.000035694,-0.000005697,-11.054946763,0.000000000,0.000000000,-0.000000034,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000001,0.000012266,0.000000028,0.000000001
1731295226.348127,-0.000115842,-0.000005781,-11.054946763,0.000000000,0.000000000,-0.000000036,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000001,0.000012400,0.000000027,0.000000001
